ID_Transaction,Payment
TX-000001,Transfer
TX-000002,VA
TX-000003,COD
TX-000004,Transfer
TX-000005,VA
TX-000006,VA
TX-000007,Transfer
TX-000008,VA
TX-000009,VA
TX-000010,VA
TX-000011,E-wallet
TX-000012,COD
TX-000013,E-wallet
TX-000014,COD
TX-000015,COD
TX-000016,COD
TX-000017,COD
TX-000018,VA
TX-000019,Transfer
TX-000020,Transfer
TX-000021,VA
TX-000022,E-wallet
TX-000023,COD
TX-000024,Transfer
TX-000025,COD
TX-000026,VA
TX-000027,Transfer
TX-000028,Transfer
TX-000029,VA
TX-000030,E-wallet
TX-000031,VA
TX-000032,VA
TX-000033,Transfer
TX-000034,COD
TX-000035,COD
TX-000036,VA
TX-000037,Transfer
TX-000038,Transfer
TX-000039,COD
TX-000040,Transfer
TX-000041,Transfer
TX-000042,Transfer
TX-000043,E-wallet
TX-000044,E-wallet
TX-000045,Transfer
TX-000046,Transfer
TX-000047,Transfer
TX-000048,Transfer
TX-000049,COD
TX-000050,Transfer
TX-000051,Transfer
TX-000052,Transfer
TX-000053,VA
TX-000054,Transfer
TX-000055,E-wallet
TX-000056,COD
TX-000057,COD
TX-000058,COD
TX-000059,COD
TX-000060,Transfer
TX-000061,COD
TX-000062,VA
TX-000063,Transfer
TX-000064,COD
TX-000065,COD
TX-000066,Transfer
TX-000067,COD
TX-000068,E-wallet
TX-000069,VA
TX-000070,COD
TX-000071,COD
TX-000072,COD
TX-000073,Transfer
TX-000074,Transfer
TX-000075,Transfer
TX-000076,Transfer
TX-000077,Transfer
TX-000078,VA
TX-000079,COD
TX-000080,Transfer
TX-000081,E-wallet
TX-000082,VA
TX-000083,VA
TX-000084,VA
TX-000085,E-wallet
TX-000086,COD
TX-000087,Transfer
TX-000088,VA
TX-000089,Transfer
TX-000090,VA
TX-000091,COD
TX-000092,VA
TX-000093,Transfer
TX-000094,Transfer
TX-000095,Transfer
TX-000096,VA
TX-000097,Transfer
TX-000098,E-wallet
TX-000099,Transfer
TX-000100,COD
TX-000101,Transfer
TX-000102,COD
TX-000103,Transfer
TX-000104,COD
TX-000105,Transfer
TX-000106,COD
TX-000107,Transfer
TX-000108,COD
TX-000109,E-wallet
TX-000110,E-wallet
TX-000111,E-wallet
TX-000112,Transfer
TX-000113,Transfer
TX-000114,VA
TX-000115,E-wallet
TX-000116,E-wallet
TX-000117,COD
TX-000118,Transfer
TX-000119,E-wallet
TX-000120,E-wallet
TX-000121,Transfer
TX-000122,Transfer
TX-000123,Transfer
TX-000124,Transfer
TX-000125,Transfer
TX-000126,COD
TX-000127,E-wallet
TX-000128,E-wallet
TX-000129,VA
TX-000130,E-wallet
TX-000131,Transfer
TX-000132,Transfer
TX-000133,COD
TX-000134,E-wallet
TX-000135,COD
TX-000136,E-wallet
TX-000137,Transfer
TX-000138,Transfer
TX-000139,Transfer
TX-000140,Transfer
TX-000141,E-wallet
TX-000142,COD
TX-000143,COD
TX-000144,E-wallet
TX-000145,Transfer
TX-000146,Transfer
TX-000147,E-wallet
TX-000148,Transfer
TX-000149,E-wallet
TX-000150,COD
TX-000151,Transfer
TX-000152,Transfer
TX-000153,E-wallet
TX-000154,Transfer
TX-000155,E-wallet
TX-000156,E-wallet
TX-000157,COD
TX-000158,COD
TX-000159,VA
TX-000160,E-wallet
TX-000161,COD
TX-000162,Transfer
TX-000163,COD
TX-000164,Transfer
TX-000165,COD
TX-000166,VA
TX-000167,VA
TX-000168,Transfer
TX-000169,VA
TX-000170,VA
TX-000171,E-wallet
TX-000172,E-wallet
TX-000173,COD
TX-000174,COD
TX-000175,E-wallet
TX-000176,VA
TX-000177,E-wallet
TX-000178,COD
TX-000179,COD
TX-000180,Transfer
TX-000181,COD
TX-000182,COD
TX-000183,Transfer
TX-000184,Transfer
TX-000185,E-wallet
TX-000186,Transfer
TX-000187,Transfer
TX-000188,E-wallet
TX-000189,E-wallet
TX-000190,E-wallet
TX-000191,COD
TX-000192,Transfer
TX-000193,VA
TX-000194,COD
TX-000195,Transfer
TX-000196,Transfer
TX-000197,Transfer
TX-000198,VA
TX-000199,VA
TX-000200,Transfer
TX-000201,Transfer
TX-000202,Transfer
TX-000203,Transfer
TX-000204,E-wallet
TX-000205,Transfer
TX-000206,Transfer
TX-000207,Transfer
TX-000208,Transfer
