ID_Transaction,Status Order
TX-000001,Completed
TX-000002,Completed
TX-000003,Completed
TX-000004,Completed
TX-000005,Pending
TX-000006,Completed
TX-000007,Completed
TX-000008,Completed
TX-000009,Completed
TX-000010,Completed
TX-000011,Completed
TX-000012,Completed
TX-000013,Completed
TX-000014,Completed
TX-000015,Pending
TX-000016,Completed
TX-000017,Pending
TX-000018,Canceled
TX-000019,Pending
TX-000020,Completed
TX-000021,Canceled
TX-000022,Completed
TX-000023,Completed
TX-000024,Completed
TX-000025,Completed
TX-000026,Pending
TX-000027,Completed
TX-000028,Completed
TX-000029,Pending
TX-000030,Completed
TX-000031,Pending
TX-000032,Pending
TX-000033,Pending
TX-000034,Completed
TX-000035,Completed
TX-000036,Completed
TX-000037,Completed
TX-000038,Pending
TX-000039,Completed
TX-000040,Completed
TX-000041,Completed
TX-000042,Completed
TX-000043,Completed
TX-000044,Pending
TX-000045,Completed
TX-000046,Completed
TX-000047,Completed
TX-000048,Completed
TX-000049,Completed
TX-000050,Completed
TX-000051,Completed
TX-000052,Return
TX-000053,Completed
TX-000054,Return
TX-000055,Completed
TX-000056,Completed
TX-000057,Completed
TX-000058,Completed
TX-000059,Completed
TX-000060,Completed
TX-000061,Completed
TX-000062,Completed
TX-000063,Completed
TX-000064,Completed
TX-000065,Completed
TX-000066,Completed
TX-000067,Completed
TX-000068,Completed
TX-000069,Pending
TX-000070,Completed
TX-000071,Return
TX-000072,Pending
TX-000073,Completed
TX-000074,Completed
TX-000075,Completed
TX-000076,Completed
TX-000077,Pending
TX-000078,Pending
TX-000079,Pending
TX-000080,Completed
TX-000081,Pending
TX-000082,Completed
TX-000083,Completed
TX-000084,Pending
TX-000085,Completed
TX-000086,Completed
TX-000087,Completed
TX-000088,Completed
TX-000089,Canceled
TX-000090,Completed
TX-000091,Canceled
TX-000092,Completed
TX-000093,Completed
TX-000094,Return
TX-000095,Return
TX-000096,Completed
TX-000097,Completed
TX-000098,Completed
TX-000099,Completed
TX-000100,Completed
TX-000101,Pending
TX-000102,Completed
TX-000103,Completed
TX-000104,Completed
TX-000105,Pending
TX-000106,Pending
TX-000107,Completed
TX-000108,Completed
TX-000109,Completed
TX-000110,Completed
TX-000111,Completed
TX-000112,Completed
TX-000113,Completed
TX-000114,Completed
TX-000115,Completed
TX-000116,Completed
TX-000117,Pending
TX-000118,Completed
TX-000119,Completed
TX-000120,Completed
TX-000121,Pending
TX-000122,Pending
TX-000123,Pending
TX-000124,Completed
TX-000125,Pending
TX-000126,Pending
TX-000127,Completed
TX-000128,Canceled
TX-000129,Completed
TX-000130,Return
TX-000131,Completed
TX-000132,Completed
TX-000133,Completed
TX-000134,Completed
TX-000135,Completed
TX-000136,Completed
TX-000137,Completed
TX-000138,Completed
TX-000139,Completed
TX-000140,Completed
TX-000141,Completed
TX-000142,Pending
TX-000143,Completed
TX-000144,Return
TX-000145,Completed
TX-000146,Completed
TX-000147,Completed
TX-000148,Completed
TX-000149,Completed
TX-000150,Completed
TX-000151,Completed
TX-000152,Completed
TX-000153,Completed
TX-000154,Pending
TX-000155,Canceled
TX-000156,Completed
TX-000157,Pending
TX-000158,Completed
TX-000159,Completed
TX-000160,Completed
TX-000161,Completed
TX-000162,Canceled
TX-000163,Completed
TX-000164,Pending
TX-000165,Completed
TX-000166,Return
TX-000167,Completed
TX-000168,Canceled
TX-000169,Completed
TX-000170,Completed
TX-000171,Completed
TX-000172,Completed
TX-000173,Completed
TX-000174,Canceled
TX-000175,Completed
TX-000176,Completed
TX-000177,Completed
TX-000178,Completed
TX-000179,Completed
TX-000180,Pending
TX-000181,Pending
TX-000182,Completed
TX-000183,Pending
TX-000184,Completed
TX-000185,Completed
TX-000186,Completed
TX-000187,Completed
TX-000188,Completed
TX-000189,Completed
TX-000190,Completed
TX-000191,Completed
TX-000192,Completed
TX-000193,Completed
TX-000194,Completed
TX-000195,Completed
TX-000196,Completed
TX-000197,Completed
TX-000198,Pending
TX-000199,Completed
TX-000200,Completed
TX-000201,Completed
TX-000202,Canceled
TX-000203,Completed
TX-000204,Completed
TX-000205,Pending
TX-000206,Completed
TX-000207,Completed
TX-000208,Completed
TX-000209,Completed
TX-000210,Completed
TX-000211,Pending
TX-000212,Completed
TX-000213,Completed
TX-000214,Completed
TX-000215,Completed
TX-000216,Completed
TX-000217,Completed
TX-000218,Completed
TX-000219,Completed
TX-000220,Pending
TX-000221,Pending
