ID_Transaction,Order_date,ID_Customer,Product,Brand,Harga,Kuantitas,Harga_Total,Total_Diskon,Total_Sales,Biaya_Ongkir,Grand_Total
TX-000001,2022-01-01 09:53,C01867,Cutter kecil,Scriba,10000,3,30000,0,30000,38453,68453
TX-000002,2022-01-02 09:53,C01868,Cutter kecil,Graphen,10000,3,30000,0,30000,32488,62488
TX-000003,2022-01-03 09:53,C01869,Binder A5,Flowline,28000,5,140000,0,140000,41516,181516
TX-000004,2022-01-04 09:53,C01870,Binder A5,Papirus,28000,2,56000,0,56000,33776,89776
TX-000005,2022-01-05 09:53,C01871,Buku Tulis Sidu 38L,Statvio,4500,2,9000,0,9000,24970,33970
TX-000006,2022-01-06 09:53,C01872,Glue Stick UHU,Artlinez,12000,4,48000,0,48000,60229,108229
TX-000007,2022-01-07 09:53,C01873,Paper Clip Joyko,Mepen,7000,2,14000,2520,11480,52326,63806
TX-000008,2022-01-08 09:53,C01874,Kertas HVS A4 70gsm 500lbr,Inkspire,62000,4,248000,12400,235600,0,235600
TX-000009,2022-01-09 09:53,C01875,Buku Tulis Sidu 38L,Lumo,4500,3,13500,0,13500,48802,62302
TX-000010,2022-01-10 09:53,C01876,Kertas HVS A4 70gsm 500lbr,Statvio,62000,2,124000,37200,86800,0,86800
TX-000011,2022-01-11 09:53,C01877,Buku Tulis Sidu 38L,Statvio,4500,1,4500,450,4050,48577,52627
TX-000012,2022-01-12 09:53,C01878,Buku Tulis Sidu 38L,Inkspire,4500,4,18000,1800,16200,51656,67856
TX-000013,2022-01-13 09:53,C01879,Kertas HVS A4 70gsm 500lbr,Notivo,62000,2,124000,0,124000,8890,132890
TX-000014,2022-01-14 09:53,C01880,Amplop Putih,Pensta,1200,2,2400,0,2400,32421,34821
TX-000015,2022-01-15 09:53,C01881,Penggaris 30cm,Lumora,5000,5,25000,2500,22500,30321,52821
TX-000016,2022-01-16 09:53,C01882,Pulpen Pilot 0.5,Draftex,12000,5,60000,0,60000,0,60000
TX-000017,2022-01-17 09:53,C01883,Kertas HVS A4 70gsm 500lbr,NexWrite,62000,1,62000,0,62000,16641,78641
TX-000018,2022-01-18 09:53,C01884,Pulpen Pilot 0.5,Prograph,12000,2,24000,1200,22800,25508,48308
TX-000019,2022-01-19 09:53,C01885,Map A4,NexWrite,7000,2,14000,0,14000,47005,61005
TX-000020,2022-01-20 09:53,C01886,Stabilo Highlighter,Pensta,15000,2,30000,0,30000,27603,57603
TX-000021,2022-01-21 09:53,C01887,Map A4,Officeo,7000,4,28000,1400,26600,0,26600
TX-000022,2022-01-22 09:53,C01888,Glue Stick UHU,Draftex,12000,5,60000,0,60000,67059,127059
TX-000023,2022-01-23 09:53,C01889,Pensil 2B,NexWrite,5000,3,15000,750,14250,39192,53442
TX-000024,2022-01-24 09:53,C01890,Penggaris 30cm,Notivo,5000,2,10000,0,10000,22796,32796
TX-000025,2022-01-25 09:53,C01891,Penghapus kecil,Lumo,3000,4,12000,0,12000,46529,58529
TX-000026,2022-01-26 09:53,C01892,Amplop Putih,Flowline,1200,2,2400,360,2040,44205,46245
TX-000027,2022-01-27 09:53,C01893,Stabilo Highlighter,Writex,15000,5,75000,0,75000,34370,109370
TX-000028,2022-01-28 09:53,C01894,Spidol Snowman,Mepen,11000,2,22000,0,22000,37117,59117
TX-000029,2022-01-29 09:53,C01895,Pensil 2B,Markify,5000,1,5000,1000,4000,0,4000
TX-000030,2022-01-30 09:53,C01896,Kertas HVS A4 70gsm 500lbr,Vectro,62000,5,310000,0,310000,39974,349974
TX-000031,2022-01-31 09:53,C01897,Pensil 2B,Scriba,5000,5,25000,1750,23250,0,23250
TX-000032,2022-02-01 09:53,C01898,Paper Clip Joyko,Pentagio,7000,5,35000,0,35000,0,35000
TX-000033,2022-02-02 09:53,C01899,Glue Stick UHU,Flowline,12000,2,24000,2880,21120,24492,45612
TX-000034,2022-02-03 09:53,C01900,Paper Clip Joyko,Lumo,7000,5,35000,6300,28700,33552,62252
TX-000035,2022-02-04 09:53,C01901,Pulpen Pilot 0.5,Statvio,12000,5,60000,6000,54000,0,54000
TX-000036,2022-02-05 09:53,C01902,Spidol Snowman,Draftex,11000,1,11000,0,11000,17865,28865
TX-000037,2022-02-06 09:53,C01903,Pulpen Pilot 0.5,Lumora,12000,3,36000,0,36000,59899,95899
TX-000038,2022-02-07 09:53,C01904,Amplop Putih,NexWrite,1200,2,2400,240,2160,53406,55566
TX-000039,2022-02-08 09:53,C01905,Stabilo Highlighter,Graphen,15000,4,60000,0,60000,30260,90260
TX-000040,2022-02-09 09:53,C01906,Stabilo Highlighter,Markify,15000,3,45000,0,45000,24988,69988
